project,file,id,line,column,original,replacement,coding,temperature,label
countries-and-timezones,src/index.js,117,56,39,[],"[""Stryker was here""]",Behavioral Change,Stryker,0
pull-stream,throughs/async-map.js,428,12,10,aborted,aborted && false,Behavioral Change,LLMorpheus,0
q,q.js,1475,1604,41,"{ index: index, value: progress }","{
  index: index,
  value: progress * 2
}",Behavioral Change,LLMorpheus,0
plural,index.js,114,60,45,'electronic',"""""",Behavioral Change,Stryker,0
q,q.js,1991,2048,14,object,undefined,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,96,67,18,min > 0,min >= 0,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,40,39,46,'/','/' + '\\',Behavioral Change,LLMorpheus,0
plural,index.js,257,83,16,rule[0],rule[1],Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,43,89,9,!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude'),object.latitude === null || object.longitude === null,Behavioral Change,LLMorpheus,0
image-downloader,index.js,31,18,50,basename,basename.toLowerCase(),Behavioral Change,LLMorpheus,0
spacl-core,src/policy.ts,106,33,30,path,path.toLowerCase(),Behavioral Change,LLMorpheus,0
plural,index.js,44,33,7,w === 'dwarf',false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,252,189,41,"this.emit('error', err)","this.emit('error', err.message)",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,518,469,26,f (z['isZero']()),{},Behavioral Change,Stryker,0
q,q.js,42,58,65,"""undefined""","""""",Behavioral Change,Stryker,0
q,q.js,927,1713,59,"eturn all(array_map(promises, function (promise)",{},Behavioral Change,Stryker,0
delta,src/Delta.ts,87,23,7,typeof b !== 'object' || b === null,typeof b !== 'object',Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,141,209,45,alculateBearing(point: GeoPoint): number,{},Behavioral Change,Stryker,0
Complex.js,complex.js,1002,1087,11,noIM,noIM = false,Behavioral Change,LLMorpheus,0
plural,index.js,136,76,7,num !== 1,false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,140,118,21,'error','drain',Behavioral Change,LLMorpheus,0
Complex.js,complex.js,933,993,32,b,-b,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,158,74,9,typeof arg === 'string',true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,45,42,8,/^\.*\/|^(?!localhost)\w+:/,/^\.*\/|(?!localhost)\w+:/,Behavioral Change,Stryker,0
q,q.js,212,358,9,"object_toString(exception) === ""[",true,Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,77,17,7,totalTimezones !== memoizedTimezones,true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,83,63,45,true,,Behavioral Change,LLMorpheus,0
q,q.js,1035,1206,29,exception,undefined,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,89,12,40,"getCountry(id, options)","getCountry(id, options, undefined)",Equivalent,LLMorpheus,1
node-jsonfile,index.js,85,68,60,options,undefined,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,723,730,9,Math.cos,Math.acos,Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,35,22,9,/[*+][^/]|[^/][*+]/,/[*+][/]|[^/][*+]/,Behavioral Change,Stryker,0
Complex.js,complex.js,536,480,20,a === 0,false,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,20,39,28,'Bad geo point arguments',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,82,89,9,!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude'),!object.hasOwnProperty('latitude') && !object.hasOwnProperty('longitude'),Equivalent,Stryker,1
delta,src/Delta.ts,422,291,19,action === 'retain',true,Behavioral Change,Stryker,0
q,q.js,45,61,22,"typeof window !== ""undefined""",false,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,61,68,9,point.type !== 'Point',false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,146,189,51,'error',"""""",Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,177,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, {
  country: null
})",Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,167,144,23,Number(bearing),bearing + 180,Behavioral Change,LLMorpheus,0
q,q.js,788,967,14,promise,,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,272,193,11,this._waitForDrain,this._waitForDrain === false,Behavioral Change,LLMorpheus,0
q,q.js,1038,2054,36,.nextTick(function (),{},Behavioral Change,Stryker,0
delta,src/Delta.ts,349,346,15,op.insert != null,op.insert !== undefined,Behavioral Change,LLMorpheus,0
image-downloader,index.js,5,6,12,Promise.reject,Promise.race,Behavioral Change,LLMorpheus,0
pull-stream,sinks/on-end.js,244,6,16,,undefined,Behavioral Change,LLMorpheus,0
spacl-core,src/policymap.ts,147,13,16,policy.name,policy.name.toLowerCase(),Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,59,59,31,"URL.resolve(parsedBaseUrl, parsedUrl)","URL.resolve(parsedBaseUrl, parsedUrl, parsedUrl.protocol === 'http:')",Equivalent,LLMorpheus,1
crawler-url-parser,crawler-url-parser.js,31,47,43,true,false,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,3,11,29,typeof input === 'object' && input !== null,typeof input === 'object' || input !== null,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,68,72,9,!Array.isArray(point.coordinates) || point.coordinates.length !== 2,!Array.isArray(point.coordinates) && point.coordinates.length !== 2,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,50,43,42,/^(?!(?:\w+:)?\/\/)/,/(?!(?:\w+:)?\/\/)/,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,98,147,20,'',"""Stryker was here!""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,19,34,19,this._queue.get,this._queue.clear,Behavioral Change,LLMorpheus,0
plural,index.js,197,63,60,illnesses,"illnesses.concat([""new illness""])",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,220,185,5,!module.parent,module.parent,Behavioral Change,Stryker,0
plural,index.js,194,63,53,games,games.concat(illnesses),Behavioral Change,LLMorpheus,0
spacl-core,src/policy.ts,130,49,24,path,path.toLowerCase(),Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,649,512,13,thisData !== null,true,Equivalent,Stryker,1
pull-stream,sinks/drain.js,106,34,20,abort || true,abort && true,Behavioral Change,Stryker,0
delta,src/AttributeMap.ts,100,97,12,Object.keys(attributes).length > 0,true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,149,147,58,'/',"""""",Behavioral Change,Stryker,0
Complex.js,complex.js,948,1010,13,cosh,sinh,Behavioral Change,LLMorpheus,0
delta,src/AttributeMap.ts,65,82,9,typeof a !== 'object',a === undefined,Equivalent,LLMorpheus,1
Complex.js,complex.js,1056,1143,11,-b,+b,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,244,163,8,linkurl_without_last_part == pageurl_without_last_part,linkurl_without_last_part === pageurl_without_last_part,Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,4,11,29,typeof input === 'object',true,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,22,26,20,/[^/]:|:\/|:$/,/[^/]:|:\/|:$/m,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,219,168,11,!this._queue.size,this._queue.isEmpty(),Equivalent,LLMorpheus,1
node-geo-point,src/geo-point.ts,37,46,9,longitude < -180,longitude <= -180,Behavioral Change,Stryker,0
Complex.js,complex.js,771,749,19,a,-a,Equivalent,LLMorpheus,1
spacl-core,src/policymap.ts,163,30,28,verb,verb.toLowerCase(),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,15,44,14,ar sinh =,"Math.sinh && function (x) {
  return Math.abs(x) < 1e-9 ? x : (Math.exp(x) - Math.exp(-x)) * 0.5;
}",Behavioral Change,Stryker,0
pull-stream,sources/values.js,365,7,10,abort,!abort,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,117,156,15,cosδ - sinφ1 * sinφ2,cosδ + sinφ1 * sinφ2,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,41,39,46,'/','/' + '\\' + '\\',Behavioral Change,LLMorpheus,0
q,q.js,1116,1313,25,isStopIteration,isStopIteration = false,Behavioral Change,LLMorpheus,0
pull-stream,util/tester.js,464,7,5,'object' === typeof test,true,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,58,59,31,"URL.resolve(parsedBaseUrl, parsedUrl)","URL.resolve(parsedBaseUrl, parsedUrl, false)",Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,156,193,11,this._waitForDrain,true,Behavioral Change,Stryker,0
q,q.js,116,200,52,"else if (typeof setImmediate === ""function"")",{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,103,97,37,href.length < 3,false,Behavioral Change,Stryker,0
Complex.js,complex.js,1036,1128,20,'re',"""""",Behavioral Change,Stryker,0
q,q.js,277,408,13,!isInternalFrame(line) && !isNodeFrame(line),!isInternalFrame(line) || !isNodeFrame(line),Behavioral Change,Stryker,0
plural,index.js,118,41,1,"addRule('memo', 'memos')","addRule('memo', function (w) {
  return w + 's';
})",Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,150,122,15,chunk.lastIndexOf,chunk.match,Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,684,557,18,nextType === 'insert' && (offset < index || !priority),nextType === 'insert' && (offset !== index || !priority),Behavioral Change,LLMorpheus,0
Complex.js,complex.js,991,1084,20,'re',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,79,126,17,!rowStr,false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,86,134,19,!('key' in row),false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,0,28,9,val === undefined,val == null,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/build-country.js,8,18,7,!timezonesMap,typeof timezonesMap === 'undefined',Equivalent,LLMorpheus,1
plural,index.js,167,84,16,type(rule[1]) === 'Function',false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,159,126,17,!rowStr,rowStr.trim() === '',Behavioral Change,LLMorpheus,0
zip-a-folder,lib/ZipAFolder.ts,23,74,13,o.compression === COMPRESSION_LEVEL.uncompressed,false,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,59,65,27,'Object must have type and coordinates',"""""",Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,170,134,19,!('key' in row),row.key === undefined,Equivalent,LLMorpheus,1
spacl-core,src/matcher.ts,25,29,9,spec.match(/^.+\/$/) !== null,spec.match(/^.+\/$/) !== null && spec.match(/^.+\/$/) !== undefined && spec.match(/^.+\/$/) !== '',Equivalent,LLMorpheus,1
image-downloader,index.js,53,24,24,options.dest,options.dest.toLowerCase(),Equivalent,LLMorpheus,1
pull-stream,sinks/drain.js,124,49,8,'function',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,23,40,35,/#.*$/,/#.*$/i,Equivalent,LLMorpheus,1
node-dirty,lib/dirty/dirty.js,202,152,32,new Error(`Corrupted row at the end of the db: ${buffer}`),"new Error(`Corrupted row at the end of the db: ${buffer.slice(0, -1)}`)",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,122,99,20,"parse(href, baseUrlStr)","parse(href, baseUrlStr + ""test"")",Behavioral Change,LLMorpheus,0
q,q.js,1425,1552,37,arguments,[],Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,66,118,21,'error',"""""",Behavioral Change,Stryker,0
Complex.js,complex.js,855,901,11,a / d,a * d,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,81,111,24,/:.+/,/:.*/,Behavioral Change,LLMorpheus,0
pull-stream,sources/values.js,379,8,17,true,false,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,49,55,51,true,false,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,121,169,13,this._inFlightWrites <= 0,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,121,108,23,text == null,false,Behavioral Change,Stryker,0
delta,src/Delta.ts,654,514,13,otherData !== null,true,Equivalent,Stryker,1
plural,index.js,51,22,71,w.substr,w.slice,Equivalent,LLMorpheus,1
Complex.js,complex.js,737,731,18,a,a * b,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,53,43,42,/^(?!(?:\w+:)?\/\/)/,/^(?!(?:\w:)?\/\/)/,Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,100,17,7,totalTimezones !== memoizedTimezones,totalTimezones !== memoizedTimezones * 2,Behavioral Change,LLMorpheus,0
q,q.js,1276,1453,12,Q,Q.all,Behavioral Change,LLMorpheus,0
plural,index.js,75,24,9,/appendix|index/i,/appendix|index|quix/i,Behavioral Change,LLMorpheus,0
q,q.js,337,451,12,fileName === qFileName,true,Behavioral Change,Stryker,0
delta,src/Delta.ts,121,23,32,b === null,false,Equivalent,Stryker,1
pull-stream,throughs/async-map.js,245,7,6,!map,false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,111,92,50,() => this._writeStream.destroy(),() => this._writeStream.end(),Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,122,169,13,this._inFlightWrites <= 0,this._inFlightWrites < 0,Behavioral Change,Stryker,0
delta,src/Delta.ts,657,517,17,embedType === Object.keys(otherData)[0],true,Behavioral Change,Stryker,0
Complex.js,complex.js,1005,1098,25,acoth': function(),{},Behavioral Change,Stryker,0
pull-stream,throughs/take.js,374,19,33,true,false,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,147,122,15,chunk.lastIndexOf('\n') === -1,chunk.lastIndexOf('\n') < 0,Equivalent,LLMorpheus,1
plural,index.js,206,67,9,/ics$/i,/ics$/,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,198,208,18,else,{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,215,172,7,linkurl_subdomain_len < pageurl_subdomain_len,linkurl_subdomain_len <= pageurl_subdomain_len,Behavioral Change,Stryker,0
plural,index.js,217,76,7,num !== 1 || num === undefined,num !== 1,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,43,91,9,this._readStream,false,Behavioral Change,Stryker,0
Complex.js,complex.js,150,193,22,'abs' in a && 'arg' in a,'abs' in a || 'arg' in a,Behavioral Change,Stryker,0
pull-stream,sinks/reduce.js,274,16,12,end,end === true,Behavioral Change,LLMorpheus,0
pull-stream,pull.js,41,21,27,read,read + 1,Behavioral Change,LLMorpheus,0
spacl-core,src/rule.ts,228,69,42,index++,index += 2,Behavioral Change,LLMorpheus,0
q,q.js,370,481,13,"typeof console.warn === ""function""",true,Behavioral Change,Stryker,0
countries-and-timezones,src/build-country.js,11,12,33,[],"[""Stryker was here""]",Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,156,111,24,/:.+/,/:./,Equivalent,Stryker,1
node-geo-point,src/geo-point.ts,163,143,22,distance,distance * 2,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,138,146,38,/\/index\.[a-z]+$/,/\/index\.[a-z]+/,Behavioral Change,Stryker,0
node-jsonfile,index.js,38,50,19,"fs.readFileSync(file, options)","fs.readFileSync(file, options.encoding)",Behavioral Change,LLMorpheus,0
q,q.js,1016,1969,26,unction bound(),{},Behavioral Change,Stryker,0
Complex.js,complex.js,834,879,12,b !== 0,b === 0,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,242,162,57,/(\/[^\/]*)[\/]?$/,/(\/[^\/]*)[\/]?$/m,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,87,89,84,f (!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude')),{},Behavioral Change,Stryker,0
Complex.js,complex.js,1107,1273,9,Math.abs,Math.floor,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,113,92,50,() => this._writeStream.destroy(),() => this._writeStream.cork(),Behavioral Change,LLMorpheus,0
spacl-core,src/policy.ts,189,59,52,true,false,Behavioral Change,Stryker,0
delta,src/Delta.ts,691,557,44,offset < index,false,Behavioral Change,Stryker,0
q,q.js,186,294,41,this[index],this[index - 1],Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,143,189,13,!cbs.length,cbs.length,Behavioral Change,Stryker,0
countries-and-timezones,src/index.js,189,55,7,!country,country === null,Equivalent,LLMorpheus,1
delta,src/Op.ts,715,18,16,typeof op.retain === 'object' && op.retain !== null,false,Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,58,30,23,'Path must not end with a slash',"""""",Behavioral Change,Stryker,0
zip-a-folder,lib/ZipAFolder.ts,1,36,38,onst o: ZipAFolderOptions =,true,Behavioral Change,Stryker,0
pull-stream,sources/values.js,224,6,33,"eturn function (abort, cb)",{},Behavioral Change,Stryker,0
spacl-core,src/matcher.ts,16,16,23,'Path must begin with a slash',"""""",Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,208,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, '\\')",Behavioral Change,LLMorpheus,0
plural,index.js,34,19,9,/x$|ch$|s$/i,/x$|ch$|s$/,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,158,126,24,x,Math.sin(x),Behavioral Change,LLMorpheus,0
q,q.js,684,1076,40,"typeof process.emit === ""function""",true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,115,155,15,sinθ * sinδ * cosφ1,sinθ * sinδ / cosφ1,Behavioral Change,Stryker,0
plural,index.js,6,16,9,/[^aeiou]y$|quy$/i,/[^aeiou]y|quy$/i,Behavioral Change,Stryker,0
pull-stream,sources/values.js,416,21,10,,'',Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,123,108,38,"""""","""Stryker was here!""",Behavioral Change,Stryker,0
Complex.js,complex.js,739,731,23,sinh,tanh,Behavioral Change,LLMorpheus,0
q,q.js,633,796,9,inspect === void 0,inspect !== void 0,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,232,161,57,/(\/[^\/]*)[\/]?$/,/(\/[^\/]*)[\/]?$/i,Equivalent,LLMorpheus,1
q,q.js,655,1045,33,"object.inspect().state === ""rejected""",true,Behavioral Change,Stryker,0
Complex.js,complex.js,718,727,50,2 * a,2 * b,Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,39,50,19,"fs.readFileSync(file, options)","fs.readFileSync(file, options.throws)",Behavioral Change,LLMorpheus,0
delta,src/Delta.ts,125,89,9,length <= 0,length === 0,Behavioral Change,LLMorpheus,0
pull-stream,throughs/take.js,387,28,22,ended || end,ended && end,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,168,144,23,Number(bearing),bearing * 2,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/build-timezone.js,54,30,17,Math.floor,Math.ceil,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,30,70,28,false,true,Behavioral Change,Stryker,0
Complex.js,complex.js,1072,1244,9,Math.floor,Math.ceil,Behavioral Change,LLMorpheus,0
q,q.js,1060,1244,12,Q,Q.defer,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,171,134,19,!('key' in row),!row.hasOwnProperty('key'),Equivalent,LLMorpheus,1
pull-stream,sinks/find.js,140,9,6,!cb,false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,137,102,19,currentUrl.url,currentUrl.host,Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,146,11,10,"content.replace(/^\uFEFF/, '')","content.replace(/^\uFEFF/gm, '')",Behavioral Change,LLMorpheus,0
q,q.js,434,604,29,"e.stack.substring(e.stack.indexOf(""\n"") + 1)",e.stack,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,118,156,22,sinφ1 * sinφ2,sinφ1 / sinφ2,Behavioral Change,Stryker,0
Complex.js,complex.js,910,989,38,2 * a,a + b,Behavioral Change,LLMorpheus,0
node-jsonfile,index.js,86,68,60,options,{},Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,9,36,18,"currentUrlStr.replace(/#.*$/, '')","currentUrlStr.replace(/#.*$/, ' ')",Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,224,156,6,pageurl.host == linkurl.host,pageurl.host == linkurl.host && pageurl.protocol == linkurl.protocol,Behavioral Change,LLMorpheus,0
zip-a-folder,lib/ZipAFolder.ts,8,40,63,f (o.compression === COMPRESSION_LEVEL.uncompressed),{},Behavioral Change,Stryker,0
pull-stream,pull.js,34,38,19,i < length,i <= length,Behavioral Change,Stryker,0
plural,index.js,270,103,7,String.prototype.plural === undefined,"String.prototype.plural = function (num) {
  return num > 1 ? this + 's' : this + 'ies';
}",Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,153,122,33,'\n','',Behavioral Change,LLMorpheus,0
spacl-core,src/matcher.ts,43,24,23,'Path contains malformed wildcards',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,25,42,9,latitude < -90,latitude <= -90,Behavioral Change,Stryker,0
delta,src/Delta.ts,643,511,13,typeof thisData === 'object',typeof thisData === 'object' && thisData !== null || typeof otherData === 'object',Behavioral Change,Stryker,0
pull-stream,sinks/find.js,154,22,8,err === true,false,Behavioral Change,Stryker,0
q,q.js,482,703,22,catch (reason),{},Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,22,40,35,/#.*$/,/#.*$/g,Behavioral Change,LLMorpheus,0
node-jsonfile,utils.js,127,5,10,str.replace,str.replaceAll,Equivalent,LLMorpheus,1
delta,src/Delta.ts,204,105,7,typeof attributes === 'object',true,Behavioral Change,Stryker,0
spacl-core,src/policymap.ts,171,39,29,name,name.toLowerCase(),Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,81,89,9,!object.hasOwnProperty('latitude') || !object.hasOwnProperty('longitude'),false,Equivalent,Stryker,1
node-geo-point,src/geo-point.ts,50,61,27,'GeoPoint: Argument must be an object',"""""",Behavioral Change,Stryker,0
pull-stream,util/prop.js,452,5,34,'function' === typeof key.exec,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,249,201,12,"GeoPoint.calculateDestination(this, distance, bearing)","GeoPoint.calculateDestination(this, distance, bearing * 2)",Behavioral Change,LLMorpheus,0
q,q.js,864,1564,31,"""keys""","""""",Behavioral Change,Stryker,0
spacl-core,src/rule.ts,185,25,24,verbs,verbs.values(),Equivalent,LLMorpheus,1
Complex.js,complex.js,259,260,28,parseFloat,Number,Behavioral Change,LLMorpheus,0
countries-and-timezones,src/index.js,138,32,7,!timezones[name],timezones[name] === undefined,Equivalent,LLMorpheus,1
Complex.js,complex.js,370,339,11,this['isInfinite']() || z['isInfinite'](),this['isInfinite']() && z['isInfinite'](),Behavioral Change,Stryker,0
plural,index.js,97,28,9,/[^aeiouy]o$/i,/[^aeiouy]o$/g,Equivalent,LLMorpheus,1
Complex.js,complex.js,995,1085,37,'im',"""""",Behavioral Change,Stryker,0
Complex.js,complex.js,1050,1230,9,Math.ceil,Math.abs,Behavioral Change,LLMorpheus,0
pull-stream,pull.js,48,22,22,"pull(read, ref[0], ref[1])","pull(read, ref[0], ref[1], ref[2])",Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,131,182,9,!this._queue.size || this._waitForDrain,false,Behavioral Change,Stryker,0
q,q.js,706,1094,9,!trackUnhandledRejections,true,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,88,134,36,f (!('key' in row)),{},Behavioral Change,Stryker,0
Complex.js,complex.js,988,1082,12,b !== 0,false,Behavioral Change,Stryker,0
pull-stream,pull.js,31,34,38,'function',"""""",Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,7,46,9,longitude < -180 || longitude > 180,longitude < -180 || longitude > 180 || longitude === 180,Behavioral Change,LLMorpheus,0
crawler-url-parser,crawler-url-parser.js,52,43,42,/^(?!(?:\w+:)?\/\/)/,/^(?!(?:\w+:)\/\/)/,Behavioral Change,Stryker,0
q,q.js,725,1103,21,atReport !== -1,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,187,149,40,φ1,Math.PI,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,257,189,60,err,new Error(),Behavioral Change,LLMorpheus,0
pull-stream,sources/once.js,354,10,10,,undefined,Behavioral Change,LLMorpheus,0
Complex.js,complex.js,1051,1140,15,d !== 0,true,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,115,167,28,false,true,Behavioral Change,Stryker,0
node-geo-point,src/geo-point.ts,119,157,16,"λ1 + atan2(y, x)","λ1 - atan2(y, x)",Behavioral Change,Stryker,0
q,q.js,588,704,25,reason,undefined,Behavioral Change,LLMorpheus,0
spacl-core,src/rule.ts,192,35,5,f,"for (const verb of verbs.values()) {
  this.verbs[verb] = false;
}",Equivalent,LLMorpheus,1
plural,index.js,133,76,7,num !== 1 || num === undefined,true,Behavioral Change,Stryker,0
Complex.js,complex.js,902,992,9,-2 * sinh(a),-2 / sinh(a),Behavioral Change,Stryker,0
node-jsonfile,index.js,20,25,11,"JSON.parse(data, options ? options.reviver : null)","JSON.parse(data, options ? options.reviver : {})",Behavioral Change,LLMorpheus,0
Complex.js,complex.js,239,230,44,c === '\n',false,Behavioral Change,Stryker,0
crawler-url-parser,crawler-url-parser.js,222,185,5,!module.parent,false,Behavioral Change,Stryker,0
plural,index.js,253,83,11,type(rule[0]) === 'String' && rule[0] === word,rule[0] === word,Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,9,60,9,!isObject(point),point.type !== 'Point',Behavioral Change,LLMorpheus,0
node-geo-point,src/geo-point.ts,35,46,9,longitude < -180 || longitude > 180,longitude < -180 && longitude > 180,Behavioral Change,Stryker,0
delta,src/Delta.ts,586,456,51,op.retain !== null,true,Behavioral Change,Stryker,0
node-dirty,lib/dirty/dirty.js,203,152,32,new Error(`Corrupted row at the end of the db: ${buffer}`),new Error(`Corrupted row at the end of the db: ${buffer.toUpperCase()}`),Behavioral Change,LLMorpheus,0
countries-and-timezones,src/build-country.js,0,5,7,!name,name === undefined,Equivalent,LLMorpheus,1
pull-stream,sources/values.js,375,7,36,abort,!abort,Behavioral Change,LLMorpheus,0
pull-stream,sinks/drain.js,164,28,17,console.warn,console.info,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,146,122,15,chunk.lastIndexOf('\n') === -1,chunk.lastIndexOf('\n') === 0,Behavioral Change,LLMorpheus,0
node-dirty,lib/dirty/dirty.js,199,152,23,'error','end',Behavioral Change,LLMorpheus,0
pull-stream,throughs/take.js,658,24,51,ended,!ended,Behavioral Change,LLMorpheus,0
